neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
Neighborhood highlights,40.72499,-73.99198,Entire home/apt,259.0,30,36,0.21,1,332
Neighborhood highlights,40.65623,-73.9612,Entire home/apt,71.0,30,131,0.78,1,136
,40.75282,-73.97315,Entire home/apt,,365,19,0.11,1,0
Neighborhood highlights,40.8677,-73.92122,Entire home/apt,81.0,30,22,0.18,1,243
,40.77549,-73.95128,Entire home/apt,96.0,30,1,0.01,1,289
Neighborhood highlights,40.68413,-73.93538,Entire home/apt,141.0,30,241,1.47,2,180
,40.70937,-73.9657,Entire home/apt,352.0,180,2,0.01,1,365
,40.67782,-73.97205,Private room,630.0,30,185,1.1,1,365
Neighborhood highlights,40.66883,-73.95296,Private room,,30,0,0.0,1,0
Neighborhood highlights,40.71481,-73.99059,Private room,120.0,30,162,0.98,1,268
Neighborhood highlights,40.68461,-73.98984,Entire home/apt,575.0,30,1,0.04,3,336
Neighborhood highlights,40.72678,-73.90448,Entire home/apt,,30,2,0.01,1,0
